feature,importance
high_low_log_range,565
volume_log_change,565
session_volume_share,547
volume_ma_ratio,539
atr_pct,527
log_return,501
log_return_3,463
fracdiff_close_5,452
macd_signal_return,426
fracdiff_close,426
log_return_5,420
macd_hist_return,414
ema_50_return,413
ema_200_return,411
log_return_15,398
macd_return,392
vwap_deviation_zscore,379
anchored_vwap_distance,342
ema_20_return,328
minute,267
hour,225
close_open_log_return,0
premium_index,0
predicted_funding_rate,0
funding_rate,0
premium_basis_pct,0
funding_rate_delta,0
oi_change_pct,0
cvd_ratio,0
liquidation_cluster_side,0
liquidation_cluster_density,0
liquidation_reversal_signal,0
liquidation_notional,0
liquidation_imbalance,0
spot_perp_cvd_divergence,0
sentiment_score,0
risk_level_encoded,0
