feature,auc_drop
high_low_log_range,0.0033910011835491063
volume_ma_ratio,0.0022716333608044184
volume_log_change,0.0020627174957890126
log_return,0.0017103737411051645
atr_pct,0.001172250131475594
log_return_15,0.001135278633656404
log_return_3,0.0006630273184780044
fracdiff_close_5,0.0006354332068001142
macd_signal_return,0.0004983081504397191
session_volume_share,0.00042275101456401565
macd_hist_return,0.0002505760559051347
ema_20_return,0.00024258221853890038
vwap_deviation_zscore,0.00023989198480985538
fracdiff_close,0.0002036891251990062
anchored_vwap_distance,0.00016249011723423745
minute,0.0001546500075096565
macd_return,0.00013143713361899825
ema_50_return,0.00010315124755359377
log_return_5,7.986150984214586e-05
hour,1.629513001592346e-05
ema_200_return,8.839339395401899e-06
close_open_log_return,0.0
premium_index,0.0
predicted_funding_rate,0.0
funding_rate,0.0
premium_basis_pct,0.0
funding_rate_delta,0.0
oi_change_pct,0.0
cvd_ratio,0.0
liquidation_cluster_side,0.0
liquidation_cluster_density,0.0
liquidation_reversal_signal,0.0
liquidation_notional,0.0
liquidation_imbalance,0.0
spot_perp_cvd_divergence,0.0
sentiment_score,0.0
risk_level_encoded,0.0
